    97,156ms ID:00014E89 Pr:00000000             0 +         7,023 A9955C9D4613D15F154CD92A0463DBA1          ReleaseRequest(): Success "campaigns\voidstory.sc2campaign\enus.sc2assets" "LocalizedData/Sounds/VO/Ambient_TaldarimHero_TaldarimHero_010.fxe"
    97,156ms ID:00014E9B Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          RequestFile() "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/TextureSheetData.xml"
    97,156ms ID:00014E9B Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          ProcessUnprocessedRequests(): Request already completed "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/TextureSheetData.xml"
    97,156ms ID:00014E9B Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          ReleaseRequest(): Success "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/TextureSheetData.xml"
    97,156ms ID:00014E9C Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          RequestFile() "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/TileData.xml"
    97,156ms ID:00014E9C Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          ProcessUnprocessedRequests(): Request already completed "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/TileData.xml"
    97,156ms ID:00014E9C Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          ReleaseRequest(): Success "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/TileData.xml"
    97,156ms ID:00014E9D Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          RequestFile() "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/TrophyData.xml"
    97,156ms ID:00014E9D Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          ProcessUnprocessedRequests(): Request already completed "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/TrophyData.xml"
    97,156ms ID:00014E9D Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          ReleaseRequest(): Success "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/TrophyData.xml"
    97,156ms ID:00014E9E Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          RequestFile() "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/TurretData.xml"
    97,156ms ID:00014E9E Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          ProcessUnprocessedRequests(): Request already completed "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/TurretData.xml"
    97,156ms ID:00014E9E Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          ReleaseRequest(): Success "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/TurretData.xml"
    97,156ms ID:00014E9F Pr:00000000             0 +        20,765 B16D4B6EBC1F61C01F51C08315D4EA0A          RequestFile() "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/ArmyUnitData.xml"
    97,156ms ID:00014E9F Pr:00000000             0 +        20,765 B16D4B6EBC1F61C01F51C08315D4EA0A          ProcessUnprocessedRequests(): Request already completed "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/ArmyUnitData.xml"
    97,156ms ID:00014E9F Pr:00000000             0 +        20,765 B16D4B6EBC1F61C01F51C08315D4EA0A          ReleaseRequest(): Success "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/ArmyUnitData.xml"
    97,156ms ID:00014EA0 Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          RequestFile() "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/ArmyUpgradeData.xml"
    97,156ms ID:00014EA0 Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          ProcessUnprocessedRequests(): Request already completed "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/ArmyUpgradeData.xml"
    97,156ms ID:00014EA0 Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          ReleaseRequest(): Success "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/ArmyUpgradeData.xml"
    97,156ms ID:00014EA1 Pr:00000000             0 +        20,948 D47DE9B2F8E0C8BA8282D48E243C66EA          RequestFile() "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/ArmyCategoryData.xml"
    97,156ms ID:00014EA1 Pr:00000000             0 +        20,948 D47DE9B2F8E0C8BA8282D48E243C66EA          ProcessUnprocessedRequests(): Request already completed "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/ArmyCategoryData.xml"
    97,156ms ID:00014EA1 Pr:00000000             0 +        20,948 D47DE9B2F8E0C8BA8282D48E243C66EA          ReleaseRequest(): Success "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/ArmyCategoryData.xml"
    97,156ms ID:00014EA2 Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          RequestFile() "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/ArtifactData.xml"
    97,156ms ID:00014EA2 Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          ProcessUnprocessedRequests(): Request already completed "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/ArtifactData.xml"
    97,156ms ID:00014EA2 Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          ReleaseRequest(): Success "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/ArtifactData.xml"
    97,156ms ID:00014EA3 Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          RequestFile() "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/ArtifactSlotData.xml"
    97,156ms ID:00014EA3 Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          ProcessUnprocessedRequests(): Request already completed "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/ArtifactSlotData.xml"
    97,156ms ID:00014EA3 Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          ReleaseRequest(): Success "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/ArtifactSlotData.xml"
    97,156ms ID:00014EA4 Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          RequestFile() "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/AchievementData.xml"
    97,156ms ID:00014EA4 Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          ProcessUnprocessedRequests(): Request already completed "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/AchievementData.xml"
    97,156ms ID:00014EA4 Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          ReleaseRequest(): Success "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/AchievementData.xml"
    97,156ms ID:00014EA5 Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          RequestFile() "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/AchievementTermData.xml"
    97,156ms ID:00014EA5 Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          ProcessUnprocessedRequests(): Request already completed "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/AchievementTermData.xml"
    97,156ms ID:00014EA5 Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          ReleaseRequest(): Success "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/AchievementTermData.xml"
    97,156ms ID:00014EA6 Pr:00000000             0 +        52,044 041EAE53523C28FB839C335367514CBE          RequestFile() "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/ActorData.xml"
    97,156ms ID:00014EA6 Pr:00000000             0 +        52,044 041EAE53523C28FB839C335367514CBE          ProcessUnprocessedRequests(): Request already completed "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/ActorData.xml"
    97,156ms ID:00014EA6 Pr:00000000             0 +        52,044 041EAE53523C28FB839C335367514CBE          ReleaseRequest(): Success "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/ActorData.xml"
    97,156ms ID:00014EA7 Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          RequestFile() "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/ActorSupportData.xml"
    97,156ms ID:00014EA7 Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          ProcessUnprocessedRequests(): Request already completed "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/ActorSupportData.xml"
    97,156ms ID:00014EA7 Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          ReleaseRequest(): Success "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/ActorSupportData.xml"
    97,156ms ID:00014EA8 Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          RequestFile() "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/AbilData.xml"
    97,156ms ID:00014EA8 Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          ProcessUnprocessedRequests(): Request already completed "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/AbilData.xml"
    97,156ms ID:00014EA8 Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          ReleaseRequest(): Success "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/AbilData.xml"
    97,156ms ID:00014EA9 Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          RequestFile() "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/AlertData.xml"
    97,156ms ID:00014EA9 Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          ProcessUnprocessedRequests(): Request already completed "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/AlertData.xml"
    97,156ms ID:00014EA9 Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          ReleaseRequest(): Success "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/AlertData.xml"
    97,156ms ID:00014EAA Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          RequestFile() "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/AttachMethodData.xml"
    97,156ms ID:00014EAA Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          ProcessUnprocessedRequests(): Request already completed "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/AttachMethodData.xml"
    97,156ms ID:00014EAA Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          ReleaseRequest(): Success "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/AttachMethodData.xml"
    97,156ms ID:00014EAB Pr:00000000             0 +     4,027,559 2F4AAA5FA22768CD4E6919F930385DA3          RequestFile() "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/ConversationData.xml"
    97,156ms ID:00014EAB Pr:00000000             0 +     4,027,559 2F4AAA5FA22768CD4E6919F930385DA3          ProcessUnprocessedRequests(): Request already completed "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/ConversationData.xml"
    97,156ms ID:00014EAB Pr:00000000             0 +     4,027,559 2F4AAA5FA22768CD4E6919F930385DA3          ReleaseRequest(): Success "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/ConversationData.xml"
    97,156ms ID:00014EAC Pr:00000000             0 +         8,408 64A87EACBFDCA59B7829F79FAC9E04C8          RequestFile() "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/ConversationStateData.xml"
    97,156ms ID:00014EAC Pr:00000000             0 +         8,408 64A87EACBFDCA59B7829F79FAC9E04C8          ProcessUnprocessedRequests(): Request already completed "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/ConversationStateData.xml"
    97,156ms ID:00014EAC Pr:00000000             0 +         8,408 64A87EACBFDCA59B7829F79FAC9E04C8          ReleaseRequest(): Success "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/ConversationStateData.xml"
    97,156ms ID:00014EAD Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          RequestFile() "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/ConfigData.xml"
    97,156ms ID:00014EAD Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          ProcessUnprocessedRequests(): Request already completed "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/ConfigData.xml"
    97,156ms ID:00014EAD Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          ReleaseRequest(): Success "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/ConfigData.xml"
    97,156ms ID:00014EAE Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          RequestFile() "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/ConsoleSkinData.xml"
    97,156ms ID:00014EAE Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          ProcessUnprocessedRequests(): Request already completed "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/ConsoleSkinData.xml"
    97,156ms ID:00014EAE Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          ReleaseRequest(): Success "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/ConsoleSkinData.xml"
    97,156ms ID:00014EAF Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          RequestFile() "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/ColorStyleData.xml"
    97,156ms ID:00014EAF Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          ProcessUnprocessedRequests(): Request already completed "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/ColorStyleData.xml"
    97,156ms ID:00014EAF Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          ReleaseRequest(): Success "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/ColorStyleData.xml"
    97,156ms ID:00014EB0 Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          RequestFile() "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/CommanderData.xml"
    97,156ms ID:00014EB0 Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          ProcessUnprocessedRequests(): Request already completed "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/CommanderData.xml"
    97,156ms ID:00014EB0 Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          ReleaseRequest(): Success "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/CommanderData.xml"
    97,156ms ID:00014EB1 Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          RequestFile() "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/CameraData.xml"
    97,156ms ID:00014EB1 Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          ProcessUnprocessedRequests(): Request already completed "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/CameraData.xml"
    97,156ms ID:00014EB1 Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          ReleaseRequest(): Success "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/CameraData.xml"
    97,156ms ID:00014EB2 Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          RequestFile() "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/CampaignData.xml"
    97,156ms ID:00014EB2 Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          ProcessUnprocessedRequests(): Request already completed "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/CampaignData.xml"
    97,156ms ID:00014EB2 Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          ReleaseRequest(): Success "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/CampaignData.xml"
    97,156ms ID:00014EB3 Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          RequestFile() "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/CliffData.xml"
    97,156ms ID:00014EB3 Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          ProcessUnprocessedRequests(): Request already completed "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/CliffData.xml"
    97,156ms ID:00014EB3 Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          ReleaseRequest(): Success "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/CliffData.xml"
    97,156ms ID:00014EB4 Pr:00000000             0 +            55 4E681C25C7960D1D99E129B3E692D281          RequestFile() "campaigns\voidstory.sc2campaign\base.sc2data" "GameData/CliffMeshData.xml"
