13,808,984ms ID:000F7E49 Pr:00000000             0 +         5,904 C6A345E96080AA31A5E82820D5FC4F79          ReleaseRequest(): Success "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Textures\btn-command-returncargo.dds"
13,808,984ms ID:000F7E52 Pr:00000000             0 +       263,216 EB218EBE5F0B89D8DB61CD9A8D60319A          ReleaseRequest(): Success "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Buildings\Zerg\SpireEx1\SpireEx1.m3"
13,808,984ms ID:000F7E53 Pr:00000000             0 +        17,760 D8AD915E7044C52FA667B6FF01D7E150          StreamingThreadProc(): Calling Callback: success = true "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Textures\PrimalZergKingPortrait_Static.dds"
13,808,984ms ID:000F7E53 Pr:00000000             0 +        17,760 D8AD915E7044C52FA667B6FF01D7E150          ReleaseRequest(): Success "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Textures\PrimalZergKingPortrait_Static.dds"
13,808,984ms ID:000F7E54 Pr:00000000             0 +        11,888 DB000BE456B4D2A9D6D901504F4F790F          StreamingThreadProc(): Calling Callback: success = true "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Effects\Other\PhysicsImpactCreepMed\PhysicsImpactCreepMed.m3"
13,808,984ms ID:000F7E54 Pr:00000000             0 +        11,888 DB000BE456B4D2A9D6D901504F4F790F          ReleaseRequest(): Success "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Effects\Other\PhysicsImpactCreepMed\PhysicsImpactCreepMed.m3"
13,808,984ms ID:000F7E55 Pr:00000000             0 +        11,324 1716BF2F46804F81F7762C72287C15BE          StreamingThreadProc(): Calling Callback: success = true "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Sounds\Overlord_Land_01.wav"
13,808,984ms ID:000F7E55 Pr:00000000             0 +        11,324 1716BF2F46804F81F7762C72287C15BE          ReleaseRequest(): Success "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Sounds\Overlord_Land_01.wav"
13,808,984ms ID:000F7E56 Pr:00000000             0 +        30,272 52BB83752CFCB1309DDE44F680944019          StreamingThreadProc(): Calling Callback: success = true "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Effects\Zerg\CorrosiveBileImpactB\CorrosiveBileImpactB.m3"
13,808,984ms ID:000F7E56 Pr:00000000             0 +        30,272 52BB83752CFCB1309DDE44F680944019          ReleaseRequest(): Success "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Effects\Zerg\CorrosiveBileImpactB\CorrosiveBileImpactB.m3"
13,808,984ms ID:000F7E57 Pr:00000000             0 +        32,448 692C09C00FE5D40DB3B093ADB4882797          StreamingThreadProc(): Calling Callback: success = true "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Effects\Terran\ReaperFireSprite\ReaperFireSprite.m3"
13,808,984ms ID:000F7E57 Pr:00000000             0 +        32,448 692C09C00FE5D40DB3B093ADB4882797          ReleaseRequest(): Success "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Effects\Terran\ReaperFireSprite\ReaperFireSprite.m3"
13,808,984ms ID:000F7E58 Pr:00000000             0 +        19,728 65649FE67D36213B597DBA9CBC1E2CE3          StreamingThreadProc(): Calling Callback: success = true "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Textures\Wireframe-Zerg-NydusNetwork.dds"
13,808,984ms ID:000F7E58 Pr:00000000             0 +        19,728 65649FE67D36213B597DBA9CBC1E2CE3          ReleaseRequest(): Success "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Textures\Wireframe-Zerg-NydusNetwork.dds"
13,808,984ms ID:000F7E59 Pr:00000000             0 +        60,476 E430B95F6B1023C130E07B84D7E2F654          StreamingThreadProc(): Calling Callback: success = true "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Sounds\Terran\Medivac\Medivac_Load0.wav"
13,808,984ms ID:000F7E59 Pr:00000000             0 +        60,476 E430B95F6B1023C130E07B84D7E2F654          ReleaseRequest(): Success "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Sounds\Terran\Medivac\Medivac_Load0.wav"
13,808,984ms ID:000F7E5A Pr:00000000             0 +     1,256,144 0CD28E1509C030CEBABFACBAA973F533          StreamingThreadProc(): Calling Callback: success = true "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Units\Terran\ThorEx1\ThorEx1.m3"
13,808,984ms ID:000F7E5A Pr:00000000             0 +     1,256,144 0CD28E1509C030CEBABFACBAA973F533          ReleaseRequest(): Success "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Units\Terran\ThorEx1\ThorEx1.m3"
13,808,984ms ID:000F7E5B Pr:00000000             0 +       186,368 FCDFA75D863CCD5E93ABEE7251C587B7          StreamingThreadProc(): Calling Callback: success = true "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Doodads\IceShearedRocksLargeRefractive\IceShearedRocksLargeRefractive_02.m3"
13,808,984ms ID:000F7E5B Pr:00000000             0 +       186,368 FCDFA75D863CCD5E93ABEE7251C587B7          ReleaseRequest(): Success "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Doodads\IceShearedRocksLargeRefractive\IceShearedRocksLargeRefractive_02.m3"
13,808,984ms ID:000F7E5C Pr:00000000             0 +        68,412 EB81DCB8C8798AD652767481E0277884          StreamingThreadProc(): Calling Callback: success = true "Mods\Liberty.SC2Mod\Base.SC2Assets" "assets\sounds\terran\sharedeffects\explosions\terran_explosionmedium7.wav"
13,808,984ms ID:000F7E5C Pr:00000000             0 +        68,412 EB81DCB8C8798AD652767481E0277884          ReleaseRequest(): Success "Mods\Liberty.SC2Mod\Base.SC2Assets" "assets\sounds\terran\sharedeffects\explosions\terran_explosionmedium7.wav"
13,808,984ms ID:000F7E5D Pr:00000000             0 +        58,560 E1448BE9702B8FAD969D4349E8D50AAA          StreamingThreadProc(): Calling Callback: success = true "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Units\Zerg\SwarmHostEggEx1A\SwarmHostEggEx1A.m3"
13,808,984ms ID:000F7E5D Pr:00000000             0 +        58,560 E1448BE9702B8FAD969D4349E8D50AAA          ReleaseRequest(): Success "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Units\Zerg\SwarmHostEggEx1A\SwarmHostEggEx1A.m3"
13,808,984ms ID:000F7E5E Pr:00000000             0 +        10,556 E1AF015E7D26D415A8B08CEE23BC9151          StreamingThreadProc(): Calling Callback: success = true "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Sounds\Terran\Ghost\Ghost_SnipeImpact0.wav"
13,808,984ms ID:000F7E5E Pr:00000000             0 +        10,556 E1AF015E7D26D415A8B08CEE23BC9151          ReleaseRequest(): Success "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Sounds\Terran\Ghost\Ghost_SnipeImpact0.wav"
13,808,984ms ID:000F7E5F Pr:00000000             0 +        38,698 0ECF1945EC205F26D1D62A0EF163F6B9          StreamingThreadProc(): Calling Callback: success = true "Campaigns\Liberty.SC2Campaign\enUS.SC2Assets" "LocalizedData\Sounds\TerranVO\CampaignUnits\ScienceVessel\ScienceVessel_Ready00.ogg"
13,808,984ms ID:000F7E5F Pr:00000000             0 +        38,698 0ECF1945EC205F26D1D62A0EF163F6B9          ReleaseRequest(): Success "Campaigns\Liberty.SC2Campaign\enUS.SC2Assets" "LocalizedData\Sounds\TerranVO\CampaignUnits\ScienceVessel\ScienceVessel_Ready00.ogg"
13,808,984ms ID:000F7E60 Pr:00000000             0 +         5,904 0188A45F443ED24199B4C96D710CD136          StreamingThreadProc(): Calling Callback: success = true "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Textures\btn-unit-terran-vulture.dds"
13,808,984ms ID:000F7E60 Pr:00000000             0 +         5,904 0188A45F443ED24199B4C96D710CD136          ReleaseRequest(): Success "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Textures\btn-unit-terran-vulture.dds"
13,808,984ms ID:000F7E61 Pr:00000000             0 +         5,904 BBAA37202685CC6C171BC51D4AEBAC38          StreamingThreadProc(): Calling Callback: success = true "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Textures\btn-unit-zerg-splitterling.dds"
13,808,984ms ID:000F7E61 Pr:00000000             0 +         5,904 BBAA37202685CC6C171BC51D4AEBAC38          ReleaseRequest(): Success "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Textures\btn-unit-zerg-splitterling.dds"
13,808,984ms ID:000F7E62 Pr:00000000             0 +         5,904 BBAA37202685CC6C171BC51D4AEBAC38          StreamingThreadProc(): Calling Callback: success = true "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Textures\BTN-Unit-Zerg-Splitterling.dds"
13,808,984ms ID:000F7E62 Pr:00000000             0 +         5,904 BBAA37202685CC6C171BC51D4AEBAC38          ReleaseRequest(): Success "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Textures\BTN-Unit-Zerg-Splitterling.dds"
13,808,984ms ID:000F7E63 Pr:00000000             0 +         5,904 E18770780B2F2AA1D07B00AA29A49671          StreamingThreadProc(): Calling Callback: success = true "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Textures\btn-upgrade-terran-weaponrefit.dds"
13,808,984ms ID:000F7E63 Pr:00000000             0 +         5,904 E18770780B2F2AA1D07B00AA29A49671          ReleaseRequest(): Success "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Textures\btn-upgrade-terran-weaponrefit.dds"
13,808,984ms ID:000F7E64 Pr:00000000             0 +        19,728 5D882A57FF398A8FE99681DB2BD244A3          StreamingThreadProc(): Calling Callback: success = true "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Textures\Wireframe-zerg-overmindtendril.dds"
13,808,984ms ID:000F7E64 Pr:00000000             0 +        19,728 5D882A57FF398A8FE99681DB2BD244A3          ReleaseRequest(): Success "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Textures\Wireframe-zerg-overmindtendril.dds"
13,808,984ms ID:000F7E65 Pr:00000000             0 +       281,904 DFFB1BAFDB8EB1338E7B038F365CFFFD          StreamingThreadProc(): Calling Callback: success = true "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Units\Zerg\Overseer\Overseer.m3"
13,808,984ms ID:000F7E65 Pr:00000000             0 +       281,904 DFFB1BAFDB8EB1338E7B038F365CFFFD          ReleaseRequest(): Success "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Units\Zerg\Overseer\Overseer.m3"
13,808,984ms ID:000F7E66 Pr:00000000             0 +         5,904 DEAB4863F80ABEF026B17016DD6F82E7          StreamingThreadProc(): Calling Callback: success = true "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Textures\btn-ability-zerg-banelingspooge.dds"
13,808,984ms ID:000F7E66 Pr:00000000             0 +         5,904 DEAB4863F80ABEF026B17016DD6F82E7          ReleaseRequest(): Success "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Textures\btn-ability-zerg-banelingspooge.dds"
13,808,984ms ID:000F7E67 Pr:00000000             0 +        21,820 D8CE258D82445FA2564043033B146F35          StreamingThreadProc(): Calling Callback: success = true "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Sounds\Zerg\Corruptor\Corruptor_AttackLaunch0.wav"
13,808,984ms ID:000F7E67 Pr:00000000             0 +        21,820 D8CE258D82445FA2564043033B146F35          ReleaseRequest(): Success "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Sounds\Zerg\Corruptor\Corruptor_AttackLaunch0.wav"
13,808,984ms ID:000F7E68 Pr:00000000             0 +        37,056 DF42C4D19728C92E283575E3A44437BA          StreamingThreadProc(): Calling Callback: success = true "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Effects\Terran\TankWeaponLaunch\TankWeaponLaunch_Low.m3"
13,808,984ms ID:000F7E68 Pr:00000000             0 +        37,056 DF42C4D19728C92E283575E3A44437BA          ReleaseRequest(): Success "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Effects\Terran\TankWeaponLaunch\TankWeaponLaunch_Low.m3"
13,808,984ms ID:000F7E69 Pr:00000000             0 +         2,752 7B69E190E8326FE505BAE599BCF276B6          StreamingThreadProc(): Calling Callback: success = true "Mods\Liberty.SC2Mod\enUS.SC2Assets" "LocalizedData\Sounds\VO\zVO_TerranHellion_HellionSiege_037.fxe"
13,808,984ms ID:000F7E69 Pr:00000000             0 +         2,752 7B69E190E8326FE505BAE599BCF276B6          ReleaseRequest(): Success "Mods\Liberty.SC2Mod\enUS.SC2Assets" "LocalizedData\Sounds\VO\zVO_TerranHellion_HellionSiege_037.fxe"
13,808,984ms ID:000F7E6A Pr:00000000             0 +        19,728 BAAD3528E6AE0683B8B7694A0B036059          StreamingThreadProc(): Calling Callback: success = true "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Textures\wireframe-zerg-zerglingupgrade.dds"
13,808,984ms ID:000F7E6A Pr:00000000             0 +        19,728 BAAD3528E6AE0683B8B7694A0B036059          ReleaseRequest(): Success "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Textures\wireframe-zerg-zerglingupgrade.dds"
13,808,984ms ID:000F7E6B Pr:00000000             0 +        21,820 E0B7CC1F144A9DC45AA7985BB7063CC1          StreamingThreadProc(): Calling Callback: success = true "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Sounds\Spell_Yoink_Launch_00.wav"
13,808,984ms ID:000F7E6B Pr:00000000             0 +        21,820 E0B7CC1F144A9DC45AA7985BB7063CC1          ReleaseRequest(): Success "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Sounds\Spell_Yoink_Launch_00.wav"
13,808,984ms ID:000F7E6C Pr:00000000             0 +        19,728 A3E4B2297E1B3A7307D91C845A667985          StreamingThreadProc(): Calling Callback: success = true "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Textures\Wireframe-Zerg-ultraliskex1egg.dds"
13,808,984ms ID:000F7E6C Pr:00000000             0 +        19,728 A3E4B2297E1B3A7307D91C845A667985          ReleaseRequest(): Success "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Textures\Wireframe-Zerg-ultraliskex1egg.dds"
13,808,984ms ID:000F7E6D Pr:00000000             0 +        45,116 CCE59C689F1D4AB01AB828BED160F3C6          StreamingThreadProc(): Calling Callback: success = true "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Sounds\Zerg\Drone\Drone_Mine0.wav"
13,808,984ms ID:000F7E6D Pr:00000000             0 +        45,116 CCE59C689F1D4AB01AB828BED160F3C6          ReleaseRequest(): Success "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Sounds\Zerg\Drone\Drone_Mine0.wav"
13,808,984ms ID:000F7E6E Pr:00000000             0 +        32,828 DC0076038561E6A183FA02E7C43BD191          StreamingThreadProc(): Calling Callback: success = true "Campaigns\Liberty.SC2Campaign\enUS.SC2Assets" "LocalizedData\Sounds\TerranVO\CampaignUnits\Medic\Medic_Death00.wav"
13,808,984ms ID:000F7E6E Pr:00000000             0 +        32,828 DC0076038561E6A183FA02E7C43BD191          ReleaseRequest(): Success "Campaigns\Liberty.SC2Campaign\enUS.SC2Assets" "LocalizedData\Sounds\TerranVO\CampaignUnits\Medic\Medic_Death00.wav"
13,808,984ms ID:000F7E6F Pr:00000000             0 +        19,728 7126440D587270A7A6FD8AD09832AA4E          StreamingThreadProc(): Calling Callback: success = true "Campaigns\Liberty.SC2Campaign\Base.SC2Assets" "Assets\Textures\Wireframe-Terran-DropshipSpecialOps.dds"
13,808,984ms ID:000F7E6F Pr:00000000             0 +        19,728 7126440D587270A7A6FD8AD09832AA4E          ReleaseRequest(): Success "Campaigns\Liberty.SC2Campaign\Base.SC2Assets" "Assets\Textures\Wireframe-Terran-DropshipSpecialOps.dds"
13,808,984ms ID:000F7E70 Pr:00000000             0 +     4,493,562 ED454CCCDD0BE5212B557109A54859F6          StreamingThreadProc(): Calling Callback: success = true "Mods\Liberty.SC2Mod\enUS.SC2Assets" "assets\textures\video_ac_karax_low.ogv"
13,808,984ms ID:000F7E70 Pr:00000000             0 +     4,493,562 ED454CCCDD0BE5212B557109A54859F6          ReleaseRequest(): Success "Mods\Liberty.SC2Mod\enUS.SC2Assets" "assets\textures\video_ac_karax_low.ogv"
13,808,984ms ID:000F7E71 Pr:00000000             0 +         3,901 90E240FEB13B33BAE040395273BB25F3          StreamingThreadProc(): Calling Callback: success = true "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Sounds\Zerg\Broodling\Broodling_Ready0.ogg"
13,808,984ms ID:000F7E71 Pr:00000000             0 +         3,901 90E240FEB13B33BAE040395273BB25F3          ReleaseRequest(): Success "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Sounds\Zerg\Broodling\Broodling_Ready0.ogg"
13,808,984ms ID:000F7E72 Pr:00000000             0 +        30,012 5B8560367FBE9EA1076540269AD129B4          StreamingThreadProc(): Calling Callback: success = true "Campaigns\Swarm.SC2Campaign\Base.SC2Assets" "Assets\Sounds\Terrorzor_Attk_4_A.wav"
13,808,984ms ID:000F7E72 Pr:00000000             0 +        30,012 5B8560367FBE9EA1076540269AD129B4          ReleaseRequest(): Success "Campaigns\Swarm.SC2Campaign\Base.SC2Assets" "Assets\Sounds\Terrorzor_Attk_4_A.wav"
13,808,984ms ID:000F7E73 Pr:00000000             0 +        20,796 955F1A2B522FB6011394AEF497BEFDEE          StreamingThreadProc(): Calling Callback: success = true "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Sounds\Zerg\SharedEffects\Attacks\Zerg_AttackLaunchLargeSwing0.wav"
13,808,984ms ID:000F7E73 Pr:00000000             0 +        20,796 955F1A2B522FB6011394AEF497BEFDEE          ReleaseRequest(): Success "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Sounds\Zerg\SharedEffects\Attacks\Zerg_AttackLaunchLargeSwing0.wav"
13,808,984ms ID:000F7E74 Pr:00000000             0 +        74,608 C9B5C081FA3E16ACD55F60B0407FCB4D          StreamingThreadProc(): Calling Callback: success = true "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Units\Zerg\BroodLord_SwarmAnims\BroodLord_SwarmAnims.m3a"
13,808,984ms ID:000F7E74 Pr:00000000             0 +        74,608 C9B5C081FA3E16ACD55F60B0407FCB4D          ReleaseRequest(): Success "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Units\Zerg\BroodLord_SwarmAnims\BroodLord_SwarmAnims.m3a"
13,808,984ms ID:000F7E75 Pr:00000000             0 +         9,376 CBFC94C81E161B3308A6E8F69092307F          StreamingThreadProc(): Calling Callback: success = true "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Effects\Terran\UnloadFX\UnloadFX.m3"
13,808,984ms ID:000F7E75 Pr:00000000             0 +         9,376 CBFC94C81E161B3308A6E8F69092307F          ReleaseRequest(): Success "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Effects\Terran\UnloadFX\UnloadFX.m3"
13,808,984ms ID:000F7E76 Pr:00000000             0 +       274,672 013E8DAE2195DDCA669431F05C1BE74C          StreamingThreadProc(): Calling Callback: success = true "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Buildings\Terran\MissileTurretTitaniumHousing\MissileTurretTitaniumHousing.m3"
13,808,984ms ID:000F7E76 Pr:00000000             0 +       274,672 013E8DAE2195DDCA669431F05C1BE74C          ReleaseRequest(): Success "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Buildings\Terran\MissileTurretTitaniumHousing\MissileTurretTitaniumHousing.m3"
13,808,984ms ID:000F7E77 Pr:00000000             0 +        25,223 5144975C53CE0DBFC8080CFECAC4687C          StreamingThreadProc(): Calling Callback: success = true "Mods\Liberty.SC2Mod\enUS.SC2Assets" "LocalizedData\Sounds\TerranUnitVO\Medivac\Medivac_What00.ogg"
13,808,984ms ID:000F7E77 Pr:00000000             0 +        25,223 5144975C53CE0DBFC8080CFECAC4687C          ReleaseRequest(): Success "Mods\Liberty.SC2Mod\enUS.SC2Assets" "LocalizedData\Sounds\TerranUnitVO\Medivac\Medivac_What00.ogg"
13,808,984ms ID:000F7E78 Pr:00000000             0 +        19,118 65CBC9BBF2D74D3BC679F4CE389EA638          StreamingThreadProc(): Calling Callback: success = true "Mods\Liberty.SC2Mod\enUS.SC2Assets" "LocalizedData\Sounds\TerranUnitVO\Marauder\Marauder_Yes00.ogg"
13,808,984ms ID:000F7E78 Pr:00000000             0 +        19,118 65CBC9BBF2D74D3BC679F4CE389EA638          ReleaseRequest(): Success "Mods\Liberty.SC2Mod\enUS.SC2Assets" "LocalizedData\Sounds\TerranUnitVO\Marauder\Marauder_Yes00.ogg"
13,808,984ms ID:000F7E79 Pr:00000000             0 +       366,992 EC390E7EBAB8018BE2F3972FD60A5D5C          StreamingThreadProc(): Calling Callback: success = true "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Doodads\SpaceShipPiping\SpaceShipPiping_08.m3"
13,808,984ms ID:000F7E79 Pr:00000000             0 +       366,992 EC390E7EBAB8018BE2F3972FD60A5D5C          ReleaseRequest(): Success "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Doodads\SpaceShipPiping\SpaceShipPiping_08.m3"
13,808,984ms ID:000F7E7A Pr:00000000             0 +         3,651 70EB19F066CABBC6FE80A9E1C4D5BAB9          StreamingThreadProc(): Calling Callback: success = true "Mods\Liberty.SC2Mod\enUS.SC2Assets" "LocalizedData\Sounds\VO\zVO_TerranWarhound_MercCommander_036.fxe"
13,808,984ms ID:000F7E7A Pr:00000000             0 +         3,651 70EB19F066CABBC6FE80A9E1C4D5BAB9          ReleaseRequest(): Success "Mods\Liberty.SC2Mod\enUS.SC2Assets" "LocalizedData\Sounds\VO\zVO_TerranWarhound_MercCommander_036.fxe"
13,808,984ms ID:000F7E7B Pr:00000000             0 +       815,440 6715D954300BE8DC0EB98EE3F814A08E          StreamingThreadProc(): Calling Callback: success = true "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Units\Zerg\Infestor_Ex3\Infestor_Ex3.m3"
13,808,984ms ID:000F7E7B Pr:00000000             0 +       815,440 6715D954300BE8DC0EB98EE3F814A08E          ReleaseRequest(): Success "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Units\Zerg\Infestor_Ex3\Infestor_Ex3.m3"
13,808,984ms ID:000F7E7C Pr:00000000             0 +        18,492 B187B6FA54773A41F69D60441479BF1A          StreamingThreadProc(): Calling Callback: success = true "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Sounds\Terran\SiegeTank\SiegeTank_AttackLaunch0.wav"
13,808,984ms ID:000F7E7C Pr:00000000             0 +        18,492 B187B6FA54773A41F69D60441479BF1A          ReleaseRequest(): Success "Mods\Liberty.SC2Mod\Base.SC2Assets" "Assets\Sounds\Terran\SiegeTank\SiegeTank_AttackLaunch0.wav"
